epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,796.823,1.79595,1.08108,0.97034,0.72419,0.9,0.83283,0.31569,2.12129,1.1019,0.92899,0.0034,0.0034,0.0034
102,804.774,1.62265,1.02778,0.96834,0.75113,0.85,0.77987,0.30847,2.13874,1.11204,0.90941,0.003334,0.003334,0.003334
103,812.807,1.74638,1.10065,0.9803,0.74414,0.9,0.83337,0.38631,1.96696,1.07192,0.8831,0.003268,0.003268,0.003268
104,820.948,1.70096,1.06221,1.01653,0.77994,0.8865,0.84518,0.3715,1.92498,1.10009,0.86935,0.003202,0.003202,0.003202
105,829.103,1.79884,1.0394,1.00665,0.85776,0.90478,0.87684,0.36709,2.1147,1.04591,0.95771,0.003136,0.003136,0.003136
106,836.964,1.77934,1.05305,1.01085,0.86108,0.95,0.87635,0.3605,2.07886,1.05887,0.96419,0.00307,0.00307,0.00307
107,844.898,1.67588,1.03669,1.00145,0.79037,0.94283,0.85607,0.32497,2.11702,1.12701,0.98121,0.003004,0.003004,0.003004
108,852.791,1.69929,1.09825,0.99794,0.77686,0.87093,0.84956,0.32185,2.03612,1.11222,0.98035,0.002938,0.002938,0.002938
109,860.931,1.73648,1.1569,1.04044,0.66969,0.81135,0.78669,0.29423,2.11694,1.19581,0.95212,0.002872,0.002872,0.002872
110,869.039,1.76636,1.0835,0.99247,0.65303,0.9,0.80419,0.28797,2.12863,1.21302,0.96655,0.002806,0.002806,0.002806
111,877.265,1.71981,1.08288,1.01016,0.49353,0.8,0.59578,0.23687,2.28658,1.24101,0.97762,0.00274,0.00274,0.00274
112,885.54,1.74186,1.09033,0.97287,0.48348,0.84262,0.58485,0.22893,2.21603,1.22524,0.9684,0.002674,0.002674,0.002674
113,893.923,1.6745,1.08322,0.97064,0.51427,0.95,0.63191,0.26372,2.12525,1.1223,0.95654,0.002608,0.002608,0.002608
114,902.699,1.67918,1.07652,0.97059,0.56876,0.8,0.72704,0.30677,2.00243,1.1126,0.92378,0.002542,0.002542,0.002542
115,910.947,1.67656,1.08513,0.95511,0.79723,0.95,0.85484,0.29873,2.17985,1.08718,0.91667,0.002476,0.002476,0.002476
116,919.265,1.5756,1.07964,1.01407,0.86048,0.8,0.82829,0.27925,2.3104,1.08341,0.92482,0.00241,0.00241,0.00241
117,927.664,1.71604,1.02868,1.00507,0.81627,0.8,0.83624,0.27399,2.45166,1.08956,0.9514,0.002344,0.002344,0.002344
118,935.954,1.70457,1.06851,0.96255,0.81481,0.8,0.83987,0.26891,2.412,1.10261,0.94994,0.002278,0.002278,0.002278
119,944.477,1.73171,1.064,0.9682,0.85783,0.75,0.82728,0.30444,2.0432,1.10951,0.92625,0.002212,0.002212,0.002212
120,953.185,1.78119,1.06796,0.91961,0.74197,0.85,0.84916,0.35513,1.84635,1.09876,0.89896,0.002146,0.002146,0.002146
121,961.596,1.70685,1.05965,1.01383,0.7334,1,0.87046,0.36705,1.72398,1.09139,0.87836,0.00208,0.00208,0.00208
122,970.039,1.77221,1.08573,0.98589,0.79805,0.98832,0.8879,0.36569,1.79183,1.07909,0.87651,0.002014,0.002014,0.002014
123,978.081,1.78384,1.03464,0.95647,0.86441,0.95,0.88851,0.34738,1.94407,1.08527,0.89479,0.001948,0.001948,0.001948
124,985.993,1.62062,1.02205,1.0054,0.85585,0.95,0.88318,0.31533,2.0363,1.09611,0.91017,0.001882,0.001882,0.001882
125,993.998,1.78638,1.08322,1.03129,0.86338,0.94803,0.86358,0.33091,2.00508,1.09775,0.9169,0.001816,0.001816,0.001816
126,1002.06,1.65808,1.0419,0.95043,0.86314,0.94614,0.85552,0.3413,1.95288,1.11062,0.89182,0.00175,0.00175,0.00175
127,1010.11,1.64328,1.01741,0.98127,0.82723,0.9,0.86993,0.33714,1.7887,1.12284,0.85249,0.001684,0.001684,0.001684
128,1018.21,1.68412,1.04214,0.97025,0.8231,0.93113,0.87535,0.34936,1.75526,1.10393,0.84798,0.001618,0.001618,0.001618
129,1026.48,1.64626,1.05445,0.96916,0.78843,0.85,0.79331,0.32553,1.75005,1.08353,0.84814,0.001552,0.001552,0.001552
130,1034.56,1.60014,0.99883,0.97976,0.81996,0.85,0.79359,0.30479,1.88035,1.12699,0.85817,0.001486,0.001486,0.001486
131,1042.55,1.64213,0.97122,0.9653,0.81025,0.9,0.83821,0.28839,2.00532,1.12562,0.87204,0.00142,0.00142,0.00142
132,1050.88,1.57823,0.99041,0.94847,0.78596,0.9,0.83833,0.28396,2.01754,1.14338,0.87504,0.001354,0.001354,0.001354
133,1059.09,1.65958,1.01269,0.99399,0.79501,0.9,0.81005,0.32737,1.84239,1.10624,0.86004,0.001288,0.001288,0.001288
